step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
160,400.000000,23.903441,-1927.441711,-1983.762867,24.714797,-4.629648,-6.806828,0.105730
161,400.000000,22.381869,-1924.113081,-1976.849118,21.850687,-4.629648,-6.806828,0.105571
162,400.000000,22.840574,-1914.115105,-1967.931939,24.777877,-4.629648,-6.806828,0.105567
163,400.000000,22.940204,-1908.436446,-1962.488028,27.125822,-4.629648,-6.806828,0.105625
164,400.000000,23.296434,-1928.059208,-1982.950138,28.547801,-4.629648,-6.806828,0.105591
165,400.000000,23.296434,-1938.770769,-1993.661698,29.184598,-4.629648,-6.806828,0.105572
166,400.000000,23.239576,-1944.090243,-1998.847205,31.455564,-4.629648,-6.806828,0.105554
167,400.000000,21.610374,-1947.776224,-1998.694469,29.382944,-4.629648,-6.806828,0.105461
168,400.000000,21.555684,-1944.546926,-1995.336310,28.204864,-4.629648,-6.806828,0.105414
169,400.000000,21.397945,-1945.184277,-1995.601998,29.631772,-4.629648,-6.806828,0.105426
170,400.000000,23.378261,-1941.046568,-1996.130299,31.714643,-4.629648,-6.806828,0.105380
171,400.000000,23.701827,-1936.816219,-1992.662332,27.924068,-4.629648,-6.806828,0.105451
172,400.000000,24.000000,-1938.837896,-1995.386564,28.895105,-4.629648,-6.806828,0.105578
173,400.000000,23.814364,-1940.308597,-1996.419871,28.287301,-4.629648,-6.806828,0.105603
174,400.000000,23.762971,-1944.127612,-2000.117793,20.300299,-4.629648,-6.806828,0.105429
175,400.000000,25.842812,-1937.448405,-1998.339097,20.946430,-4.629648,-6.806828,0.105355
176,400.000000,27.981667,-1932.470537,-1998.400787,25.438062,-4.629648,-6.806828,0.105325
177,400.000000,27.981667,-1931.095272,-1997.025522,25.038467,-4.629648,-6.806828,0.105295
178,400.000000,27.668233,-1940.073835,-2005.265573,27.656022,-4.629648,-6.806828,0.105209
179,400.000000,27.668233,-1939.399818,-2004.591556,71.713751,-4.629648,-6.806828,0.105056
180,400.000000,27.874027,-1946.564886,-2012.241513,72.518896,-4.629648,-6.806828,0.104972
181,400.000000,27.510699,-1943.883443,-2008.704000,74.940221,-4.629648,-6.806828,0.105014
182,400.000000,26.757809,-1960.199540,-2023.246143,74.557123,-4.629648,-6.806828,0.105014
183,400.000000,26.757809,-1962.999055,-2026.045658,67.060743,-4.629648,-6.806828,0.104810
184,400.000000,25.915622,-1943.465793,-2004.528039,67.207267,-4.629648,-6.806828,0.104730
185,400.000000,25.915622,-1939.995594,-2001.057839,66.217898,-4.629648,-6.806828,0.104624
186,400.000000,25.541762,-1936.798708,-1996.980067,64.189313,-4.629648,-6.806828,0.104492
187,400.000000,26.331977,-1948.400215,-2010.443474,62.790365,-4.629648,-6.806828,0.104388
188,400.000000,25.269108,-1948.514269,-2008.053201,64.946537,-4.629648,-6.806828,0.104352
189,400.000000,27.560873,-1943.057416,-2007.996193,62.129394,-4.629648,-6.806828,0.104382
190,400.000000,25.828787,-1950.222551,-2011.080196,64.820590,-4.629648,-6.806828,0.104424
191,400.000000,26.519088,-1941.720908,-2004.205038,63.053013,-4.629648,-6.806828,0.104375
192,400.000000,25.869214,-1938.167475,-1999.120375,67.146085,-4.629648,-6.806828,0.104521
193,400.000000,26.212523,-1948.447467,-2010.209269,61.701111,-4.629648,-6.806828,0.104485
194,400.000000,25.697520,-1941.474595,-2002.022951,60.571965,-4.629648,-6.806828,0.104359
195,400.000000,26.297039,-1935.438233,-1997.399171,55.342447,-4.629648,-6.806828,0.104311
196,400.000000,25.697179,-1936.808768,-1997.356320,57.634282,-4.629648,-6.806828,0.104251
197,400.000000,25.569232,-1939.108635,-1999.354718,58.947953,-4.629648,-6.806828,0.104154
198,400.000000,24.289737,-1944.366549,-2001.597894,55.757178,-4.629648,-6.806828,0.104183
199,400.000000,25.300714,-1930.736571,-1990.349975,56.662790,-4.629648,-6.806828,0.104025
